2
50 1170
1 3 59
1 5 208
1 6 714
1 8 412
1 11 811
1 13 351
1 16 584
1 17 519
1 18 504
1 20 377
1 22 598
1 25 35
1 27 166
1 28 892
1 32 846
1 34 301
1 36 3
1 38 533
1 39 921
1 40 113
1 41 400
1 42 52
1 43 975
1 45 784
1 48 782
2 1 156
2 6 829
2 7 51
2 9 916
2 13 810
2 18 23
2 19 847
2 23 572
2 24 158
2 27 897
2 29 56
2 30 262
2 31 749
2 33 281
2 34 592
2 35 787
2 38 612
2 40 531
2 42 579
2 48 668
2 49 666
3 7 65
3 11 399
3 18 102
3 19 509
3 21 558
3 22 32
3 24 800
3 25 760
3 28 920
3 29 825
3 30 412
3 34 243
3 36 220
3 38 402
3 40 830
3 41 266
3 42 752
3 43 121
3 47 398
3 48 2
4 5 690
4 6 601
4 8 268
4 9 27
4 10 373
4 13 510
4 14 843
4 16 650
4 18 546
4 19 294
4 21 949
4 23 267
4 24 337
4 25 569
4 27 378
4 30 103
4 34 266
4 38 191
4 41 182
4 42 724
4 43 861
4 44 121
4 45 308
4 49 25
5 4 983
5 6 81
5 7 297
5 8 540
5 12 179
5 15 35
5 16 837
5 18 571
5 19 206
5 21 525
5 25 329
5 27 603
5 29 923
5 32 859
5 34 333
5 36 60
5 37 317
5 38 505
5 39 690
5 42 706
5 43 387
5 44 773
5 45 516
5 46 168
5 48 718
5 49 145
5 50 922
6 1 618
6 2 168
6 3 946
6 4 283
6 7 891
6 8 135
6 9 697
6 11 540
6 13 825
6 14 967
6 17 257
6 18 863
6 19 213
6 20 621
6 22 531
6 23 332
6 25 758
6 28 531
6 30 134
6 31 245
6 34 90
6 35 870
6 36 711
6 37 348
6 38 356
6 39 662
6 40 549
6 41 104
6 42 415
6 49 857
7 2 246
7 3 135
7 4 89
7 9 815
7 10 311
7 11 140
7 12 230
7 13 413
7 14 797
7 15 407
7 16 990
7 18 621
7 20 4
7 21 666
7 22 81
7 23 458
7 24 850
7 25 224
7 26 275
7 30 138
7 36 434
7 42 51
7 43 825
7 45 561
7 47 144
7 48 520
8 1 39
8 2 661
8 4 687
8 5 798
8 6 14
8 12 708
8 15 740
8 16 608
8 18 274
8 19 712
8 24 694
8 25 148
8 27 229
8 28 466
8 30 316
8 31 908
8 33 800
8 34 349
8 35 720
8 39 619
8 45 913
8 46 168
8 48 126
9 1 743
9 2 791
9 4 708
9 5 944
9 7 470
9 10 830
9 13 821
9 14 925
9 15 765
9 17 129
9 18 226
9 20 893
9 23 964
9 24 128
9 28 509
9 29 411
9 31 997
9 36 426
9 37 663
9 38 107
9 40 560
9 43 457
9 46 82
9 50 869
10 2 652
10 7 779
10 11 977
10 13 409
10 14 195
10 15 742
10 17 993
10 18 748
10 19 858
10 20 942
10 22 554
10 24 497
10 25 120
10 27 89
10 30 290
10 32 980
10 34 142
10 37 437
10 38 560
10 39 868
10 40 741
10 41 998
10 42 99
10 43 242
10 45 266
10 50 163
11 1 567
11 3 742
11 4 909
11 5 197
11 6 106
11 7 650
11 12 952
11 16 217
11 17 934
11 20 943
11 21 130
11 22 231
11 23 681
11 24 932
11 25 350
11 26 422
11 29 246
11 30 594
11 33 698
11 35 913
11 37 687
11 42 169
11 43 616
11 44 243
11 47 898
11 48 345
12 1 12
12 3 409
12 5 77
12 8 963
12 9 325
12 11 209
12 15 136
12 17 320
12 18 451
12 19 417
12 20 341
12 21 256
12 22 389
12 23 955
12 26 318
12 29 302
12 32 510
12 33 346
12 36 881
12 37 271
12 39 432
12 42 455
12 43 740
12 44 809
12 46 402
12 47 492
12 49 376
13 2 522
13 6 938
13 9 879
13 10 194
13 11 952
13 15 852
13 16 597
13 17 727
13 19 430
13 20 611
13 23 124
13 24 284
13 25 932
13 27 28
13 30 281
13 31 51
13 32 447
13 33 57
13 34 520
13 36 212
13 40 906
13 42 745
13 43 45
13 45 13
14 1 819
14 6 245
14 7 741
14 10 770
14 13 316
14 15 694
14 16 10
14 17 474
14 18 752
14 22 346
14 27 940
14 31 74
14 35 458
14 37 344
14 38 165
14 39 351
14 40 186
14 41 442
14 47 472
14 49 938
15 2 72
15 3 68
15 4 907
15 7 856
15 13 218
15 16 892
15 17 897
15 18 442
15 19 433
15 20 886
15 21 702
15 25 925
15 28 594
15 30 474
15 31 235
15 33 605
15 38 478
15 42 624
15 44 503
15 47 767
15 48 764
15 49 524
15 50 381
16 1 928
16 2 170
16 4 419
16 5 366
16 9 609
16 10 324
16 11 953
16 12 178
16 13 244
16 17 647
16 18 195
16 23 990
16 24 807
16 25 777
16 27 175
16 28 926
16 29 595
16 31 410
16 35 507
